tripid,lat,lng,pdatetime,speed,rid,highway
1121515,41.0864065,-81.5136375,12/15/2015 16:40,12.99897006,21391144,primary
1121515,41.086519,-81.5135915,12/15/2015 16:40,12.95366876,21391144,primary
1121515,41.086628,-81.5135415,12/15/2015 16:40,12.80871415,21391144,primary
1121515,41.0867365,-81.5134905,12/15/2015 16:40,12.82826661,21391144,primary
1121515,41.086847,-81.5134455,12/15/2015 16:40,12.75978836,21391144,primary
1121515,41.086955,-81.513398,12/15/2015 16:40,12.75409084,21431730,primary
1121515,41.0870645,-81.5133495,12/15/2015 16:41,13.09088907,21431730,primary
1121515,41.0871785,-81.5133005,12/15/2015 16:41,13.53378767,21431730,primary
1121515,41.087296,-81.51325,12/15/2015 16:41,13.88033089,21431730,primary
1121515,41.0874155,-81.5131965,12/15/2015 16:41,14.38707633,21431730,primary
1121515,41.0875425,-81.513146,12/15/2015 16:41,14.87273098,21431730,primary
1121515,41.0876725,-81.5130985,12/15/2015 16:41,15.06925119,21431730,primary
1121515,41.087804,-81.513052,12/15/2015 16:41,15.1430113,21431730,primary
1121515,41.0879355,-81.513006,12/15/2015 16:41,15.24443111,21431730,primary
1121515,41.0880705,-81.512969,12/15/2015 16:41,15.39049529,21431730,primary
1121515,41.0882075,-81.51294,12/15/2015 16:41,15.40956859,542283311,service
1121515,41.0883445,-81.5129145,12/15/2015 16:41,15.56218586,542283316,service
1121515,41.088485,-81.512894,12/15/2015 16:41,15.7701091,542283311,service
1121515,41.0886265,-81.512878,12/15/2015 16:41,15.83592807,21431730,primary
1121515,41.088769,-81.512869,12/15/2015 16:41,16.19888601,21431730,primary
1121515,41.0889175,-81.512869,12/15/2015 16:41,16.52356992,21431730,primary
1121515,41.089066,-81.512872,12/15/2015 16:41,16.69888578,21431730,primary
1121515,41.0892175,-81.5128825,12/15/2015 16:41,16.78715108,21431730,primary
1121515,41.0893675,-81.5128945,12/15/2015 16:41,16.7800342,21431730,primary
1121515,41.089519,-81.5129045,12/15/2015 16:41,16.85427566,21431730,primary
1121515,41.0896705,-81.5129125,12/15/2015 16:41,16.95852977,21431730,primary
1121515,41.089824,-81.5129185,12/15/2015 16:41,17.03790114,21431730,primary
1121515,41.089977,-81.5129205,12/15/2015 16:41,16.98151642,21403651,residential
1121515,41.0901295,-81.5129165,12/15/2015 16:41,17.12422605,21403651,residential
1121515,41.090285,-81.5129115,12/15/2015 16:41,17.26749546,21431730,primary
1121515,41.09044,-81.5129025,12/15/2015 16:41,17.18955486,21431730,primary
1121515,41.090594,-81.5128915,12/15/2015 16:41,17.08891785,21431730,primary
1121515,41.090747,-81.5128785,12/15/2015 16:41,17.01899496,21431730,primary
1121515,41.0908995,-81.5128645,12/15/2015 16:41,17.09547016,21401951,tertiary
1121515,41.091054,-81.5128545,12/15/2015 16:41,17.21998426,21401951,tertiary
1121515,41.091209,-81.512844,12/15/2015 16:41,17.27881438,21431730,primary
1121515,41.0913645,-81.512832,12/15/2015 16:41,17.28026276,21431730,primary
1121515,41.0915195,-81.512822,12/15/2015 16:41,17.25166648,21431730,primary
1121515,41.0916745,-81.5128115,12/15/2015 16:41,17.30679042,21431730,primary
1121515,41.0918305,-81.512801,12/15/2015 16:41,17.33006583,21431730,primary
1121515,41.091986,-81.512791,12/15/2015 16:41,17.25242479,21431730,primary
1121515,41.0921405,-81.512778,12/15/2015 16:41,17.19706498,21399119,residential
1121515,41.092295,-81.512769,12/15/2015 16:41,17.16173952,21431730,primary
1121515,41.092449,-81.51276,12/15/2015 16:41,17.1049656,21431730,primary
1121515,41.0926025,-81.512751,12/15/2015 16:41,17.10377604,21431730,primary
1121515,41.0927565,-81.512745,12/15/2015 16:41,17.07847514,21431730,primary
1121515,41.0929095,-81.5127345,12/15/2015 16:41,16.94630756,21431730,primary
1121515,41.093061,-81.512723,12/15/2015 16:41,16.81020061,21431730,primary
1121515,41.0932115,-81.5127125,12/15/2015 16:41,16.80505688,21431730,primary
1121515,41.093363,-81.5127025,12/15/2015 16:41,16.85508805,21431730,primary
1121515,41.0935145,-81.512694,12/15/2015 16:41,16.88077097,21431730,primary
1121515,41.0936665,-81.5126855,12/15/2015 16:41,16.8845372,21431730,primary
1121515,41.093818,-81.5126745,12/15/2015 16:41,16.80575651,21431730,primary
1121515,41.0939685,-81.5126645,12/15/2015 16:41,16.73508044,21396996,residential
1121515,41.0941185,-81.512653,12/15/2015 16:41,16.74157049,21431730,primary
1121515,41.094269,-81.5126405,12/15/2015 16:41,16.70340426,21431730,primary
1121515,41.0944185,-81.5126295,12/15/2015 16:41,16.64518679,21431730,primary
1121515,41.094568,-81.5126175,12/15/2015 16:41,16.61656752,21431730,primary
1121515,41.094717,-81.5126065,12/15/2015 16:41,16.66839986,21431730,primary
1121515,41.0948675,-81.512596,12/15/2015 16:41,16.80872188,21430890,tertiary
1121515,41.095019,-81.512584,12/15/2015 16:41,16.85568185,21431730,primary
1121515,41.09517,-81.5125685,12/15/2015 16:41,16.58111338,21431730,primary
1121515,41.095316,-81.5125485,12/15/2015 16:41,16.20519828,21431730,primary
1121515,41.0954595,-81.5125235,12/15/2015 16:41,16.05127676,21431730,primary
1121515,41.0956015,-81.512492,12/15/2015 16:41,15.94514582,21431730,primary
1121515,41.095742,-81.5124585,12/15/2015 16:41,15.63098115,21431730,primary
1121515,41.0958765,-81.5124155,12/15/2015 16:42,15.38541956,21431730,primary
1121515,41.096011,-81.512372,12/15/2015 16:42,15.26906373,21431730,primary
1121515,41.0961425,-81.5123245,12/15/2015 16:42,14.87991125,283054060,primary
1121515,41.096268,-81.5122725,12/15/2015 16:42,14.52709233,283054060,primary
1121515,41.096392,-81.512221,12/15/2015 16:42,14.41093771,283054060,primary
1121515,41.096516,-81.512172,12/15/2015 16:42,14.34308423,21406875,primary
1121515,41.096639,-81.5121215,12/15/2015 16:42,14.30144464,21406875,primary
1121515,41.096762,-81.5120715,12/15/2015 16:42,14.41331474,21406875,primary
1121515,41.096887,-81.5120215,12/15/2015 16:42,14.55197199,21406875,primary
1121515,41.0970135,-81.511976,12/15/2015 16:42,14.46217858,21407054,residential
1121515,41.097138,-81.5119305,12/15/2015 16:42,14.49357202,21407054,residential
1121515,41.097265,-81.511885,12/15/2015 16:42,14.61365858,21406875,primary
1121515,41.0973925,-81.5118435,12/15/2015 16:42,14.47756521,21406875,primary
1121515,41.097518,-81.5118025,12/15/2015 16:42,14.19912853,21406875,primary
1121515,41.097641,-81.5117645,12/15/2015 16:42,13.90012035,21406875,primary
1121515,41.0977615,-81.5117265,12/15/2015 16:42,13.49308859,21406875,primary
1121515,41.0978775,-81.5116915,12/15/2015 16:42,13.02555197,21406875,primary
1121515,41.09799,-81.511657,12/15/2015 16:42,12.55225684,21406875,primary
1121515,41.0980975,-81.5116235,12/15/2015 16:42,12.09354343,21406875,primary
1121515,41.0982015,-81.511589,12/15/2015 16:42,11.6444976,21406875,primary
1121515,41.0983005,-81.5115545,12/15/2015 16:42,11.19244792,21406875,primary
1121515,41.098396,-81.51152,12/15/2015 16:42,10.84456812,21406875,primary
1121515,41.0984885,-81.5114855,12/15/2015 16:42,10.4002833,21406875,primary
1121515,41.098576,-81.511452,12/15/2015 16:42,9.960429343,21438939,residential
1121515,41.098661,-81.5114215,12/15/2015 16:42,9.562461915,21438939,residential
1121515,41.0987415,-81.5113905,12/15/2015 16:42,8.972695727,21406875,primary
1121515,41.098816,-81.511362,12/15/2015 16:42,8.249721301,21406875,primary
1121515,41.098884,-81.5113355,12/15/2015 16:42,7.563667051,21406875,primary
1121515,41.0989465,-81.511311,12/15/2015 16:42,7.095238028,21406875,primary
1121515,41.0990065,-81.511288,12/15/2015 16:42,6.673638996,21406875,primary
1121515,41.099062,-81.5112675,12/15/2015 16:42,6.280623749,21406875,primary
1121515,41.0991145,-81.511245,12/15/2015 16:42,6.228093675,21406875,primary
1121515,41.0991695,-81.511227,12/15/2015 16:42,6.223777092,21406875,primary
1121515,41.0992225,-81.511206,12/15/2015 16:42,6.03859111,21406875,primary
1121515,41.099274,-81.5111875,12/15/2015 16:42,5.905588305,21406875,primary
1121515,41.0993255,-81.5111715,12/15/2015 16:42,5.708552204,21406875,primary
1121515,41.099374,-81.5111565,12/15/2015 16:42,5.210720883,21406875,primary
1121515,41.099417,-81.5111445,12/15/2015 16:42,4.584292225,21406875,primary
1121515,41.0994545,-81.5111335,12/15/2015 16:42,3.820405551,21406875,primary
1121515,41.099484,-81.5111275,12/15/2015 16:42,2.924892067,21406875,primary
1121515,41.0995055,-81.5111235,12/15/2015 16:42,2.113906161,21406875,primary
1121515,41.09952,-81.5111215,12/15/2015 16:42,1.470832701,21406875,primary
1121515,41.099529,-81.511121,12/15/2015 16:42,0.896651546,21406875,primary
1121515,41.099533,-81.511121,12/15/2015 16:42,0.443119175,21406875,primary
1121515,41.0995345,-81.5111215,12/15/2015 16:42,0.455414257,21406875,primary
1121515,41.099535,-81.5111235,12/15/2015 16:42,0.37061992,21406875,primary
1121515,41.0995355,-81.511125,12/15/2015 16:42,0.316128262,21406875,primary
1121515,41.099537,-81.5111255,12/15/2015 16:42,0.280301313,21406875,primary
1121515,41.0995375,-81.511125,12/15/2015 16:42,0.275321226,21406875,primary
1121515,41.099538,-81.5111255,12/15/2015 16:42,0.322781577,21406875,primary
1121515,41.0995395,-81.511126,12/15/2015 16:42,0.502856693,21406875,primary
1121515,41.0995445,-81.511125,12/15/2015 16:42,0.928116542,21406875,primary
1121515,41.099555,-81.5111245,12/15/2015 16:42,1.72371259,21406875,primary
1121515,41.099575,-81.511123,12/15/2015 16:42,2.864989274,21406875,primary
1121515,41.099606,-81.5111195,12/15/2015 16:42,3.939832601,21406875,primary
1121515,41.0996455,-81.511114,12/15/2015 16:42,4.970060317,21406875,primary
1121515,41.099695,-81.511109,12/15/2015 16:42,5.886847794,21424611,residential
1121515,41.099751,-81.511102,12/15/2015 16:42,6.608391153,21406875,primary
1121515,41.0998135,-81.5110965,12/15/2015 16:42,7.312140972,21406875,primary
1121515,41.099882,-81.511087,12/15/2015 16:42,7.9538677,21406875,primary
1121515,41.099956,-81.511081,12/15/2015 16:43,8.449276344,21406875,primary
1121515,41.1000335,-81.5110725,12/15/2015 16:43,8.87031207,21406875,primary
1121515,41.100115,-81.511064,12/15/2015 16:43,9.25024674,21406875,primary
1121515,41.1001995,-81.511057,12/15/2015 16:43,9.376721555,21406875,primary
1121515,41.100283,-81.511048,12/15/2015 16:43,9.554248208,21406875,primary
1121515,41.1003705,-81.5110385,12/15/2015 16:43,9.818514691,21406875,primary
1121515,41.100459,-81.51103,12/15/2015 16:43,10.00456942,21406875,primary
1121515,41.10055,-81.511022,12/15/2015 16:43,10.03258181,21406875,primary
1121515,41.100639,-81.511012,12/15/2015 16:43,9.849219553,21406875,primary
1121515,41.1007265,-81.5110015,12/15/2015 16:43,9.740043999,21406875,primary
1121515,41.1008135,-81.510991,12/15/2015 16:43,9.561537076,21406875,primary
1121515,41.100898,-81.5109835,12/15/2015 16:43,9.417368667,21406875,primary
1121515,41.1009825,-81.5109785,12/15/2015 16:43,9.360929713,21406875,primary
1121515,41.101066,-81.5109715,12/15/2015 16:43,9.318562264,21406875,primary
1121515,41.1011495,-81.5109625,12/15/2015 16:43,9.294553063,21406875,primary
1121515,41.1012325,-81.510955,12/15/2015 16:43,9.372211581,21406875,primary
1121515,41.101317,-81.510948,12/15/2015 16:43,9.569567342,21406875,primary
1121515,41.1014035,-81.5109405,12/15/2015 16:43,9.802720721,21406875,primary
1121515,41.101493,-81.5109355,12/15/2015 16:43,9.999813681,21406875,primary
1121515,41.101583,-81.5109285,12/15/2015 16:43,10.03293522,21406875,primary
1121515,41.101673,-81.510921,12/15/2015 16:43,9.91238904,21406875,primary
1121515,41.101761,-81.5109145,12/15/2015 16:43,9.535043444,21406875,primary
1121515,41.101844,-81.510907,12/15/2015 16:43,8.84006298,21406875,primary
1121515,41.1019195,-81.5109005,12/15/2015 16:43,7.62939171,21406875,primary
1121515,41.101981,-81.5108955,12/15/2015 16:43,6.072152818,21406875,primary
1121515,41.1020285,-81.5108915,12/15/2015 16:43,4.352577536,21406875,primary
1121515,41.102059,-81.5108905,12/15/2015 16:43,2.695585407,21406875,primary
1121515,41.1020765,-81.510889,12/15/2015 16:43,1.541645835,21406875,primary
1121515,41.102086,-81.510889,12/15/2015 16:43,0.784359422,21406875,primary
1121515,41.1020895,-81.5108895,12/15/2015 16:43,0.52050319,21406875,primary
1121515,41.1020935,-81.510891,12/15/2015 16:43,0.718509187,21406875,primary
1121515,41.1021,-81.5108935,12/15/2015 16:43,1.05658332,21406875,primary
1121515,41.102109,-81.510901,12/15/2015 16:43,1.791427052,21406875,primary
1121515,41.102124,-81.510918,12/15/2015 16:43,2.895815193,21406875,primary
1121515,41.102141,-81.5109505,12/15/2015 16:43,4.251031816,21424231,secondary
1121515,41.1021585,-81.511004,12/15/2015 16:43,5.695710707,21424231,secondary
1121515,41.102167,-81.511078,12/15/2015 16:43,6.870394507,21424231,secondary
1121515,41.102171,-81.5111655,12/15/2015 16:43,7.81406063,21424231,secondary
1121515,41.102172,-81.5112635,12/15/2015 16:43,8.604081769,21424231,secondary
1121515,41.102165,-81.51143025,12/15/2015 16:43,9.648308162,21424231,secondary
